Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Verbs,6,give,give,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to give a present_1.png.varianted-skin.png,#7ed957,,17,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/verbs.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Verbs,6,put,put,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/put.png.varianted-skin.png,#7ed957,,18,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/verbs.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Verbs,6,look,look,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to look_1.png.varianted-skin.png,#7ed957,,19,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/verbs.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Verbs,6,use,use,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/use.png.varianted-skin.png,#7ed957,,20,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/verbs.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,can,can,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/can_369_566571.svg,#3498db,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,will,will,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/future.png,#3498db,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,would,would,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/hands_377_g.svg,#3498db,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,could,could,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Weight Lifting-652791b3f9.svg,#3498db,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,should,should,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/Important_2.png,#3498db,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,is,is,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/is.png.varianted-skin.png,#3498db,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,am,am,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I am fine.png,#3498db,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,are,are,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f646-varxxxUNI-200d-2640-fe0f.svg,#3498db,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,was,was,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yesterday.png,#3498db,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,were,were,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/past.svg,#3498db,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,to,to,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to.png,#3498db,,11,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Helpers,7,do,do,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to do exercise_2.png.varianted-skin.png,#3498db,,12,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/class helpers.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
